"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
HO-T1336,Support to the Design and Monitoring of the Integral Rural Productive Development Program,"The TCs objective is to support the preparation and implementation of HO-L1201 by providing key elements for the design including the monitoring system. Specific objectives include (i) gathering key socio-economic information of small agricultural producers which are potential beneficiaries of the program, (ii) identifying the current poverty situation of these potential beneficiaries, their agricultural potential and the interventions needed to help lift them out of poverty in a sustainable manner, and (iii) designing a geo-referenced information system to monitor advances in the implementation of the program and the evolution poverty among beneficiaries of the Program. Hence, it contributes to the preparation of the Program by including sustainability in its three dimensions: productive, environmental and social.",Sovereign Guaranteed,Technical Cooperation,6/6/19,6/6/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Honduras,EXITED,C,650000,ATN/OC-17383-HO,,USD,ORC-Ordinary Capital,250000,245206.47,"Monday, June 06, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
CO-T1533,Experiences Exchange in Agricultural Health,"The objective of the technical cooperation is to contribute to the strengthening of the technical capacity of the Ministry of Agriculture of Colombia - MADR and the Colombian Agricultural Institute - ICA, to fuster the productivity of the Colombian agricultural sector through the exchange of experiences.",Sovereign Guaranteed,Technical Cooperation,6/12/19,6/12/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Colombia,EXITED,C,16976,ATN/OC-17394-CO,,USD,ORC-Ordinary Capital,16976,11970.97,"Thursday, August 29, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['productivity'],[],[],[],[],[],['productivity']
PE-L1249,Financing for the Sustainable Production of Alpaca Fiber in Peru,The objective of this project is to provide financing to small alpaca producers so that they may implement climate smart practices in their farms. The project also seeks to add a digital platform to improve the capacity of the cooperative to trace the alpaca fiber.,Non-Sovereign Guaranteed,Loan Operation,7/11/19,9/30/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,,2800000,4831/MS-PE,,USD,MSF-MIF-Small Enterprise Investment Fund,2800000,2100000,"Friday, February 28, 2025",COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,Yes,COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,5.000000000000000; 5.000000000000000,2028-09-05; 2023-03-06,108.8; 41.799999999999997,['alpaca'],"['alpaca', 'cooperative']",[],[],[],[],[],"['alpaca', 'cooperative']"
PE-T1422,Financing for the Sustainable Production of Alpaca Fiber in Peru,The objective of this project is to provide financing to small alpaca producers so that they may implement climate smart practices in their farms. The project also seeks to add a digital platform to improve the capacity of the cooperative to trace the alpaca fiber.,Non-Sovereign Guaranteed,Technical Cooperation,7/11/19,9/30/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,C,2860000,ATN/ME-17449-PE,,USD,MSE-Multilateral Investment Fund II (MIF) -,986000,957571.92,"Monday, February 12, 2024",Not Defined,Yes,COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,,,,['alpaca'],"['alpaca', 'cooperative']",[],[],[],[],[],"['alpaca', 'cooperative']"
RG-T3356,Distributed Ledger Technology (Blockchain): The Future of Land Titling and Registry,"The main objective of this TC is to implement three blockchain pilot projects in Bolivia, Paraguay and Peru, where the Bank has executed and/or is currently executing rural land titling projects (Rural Land Regularization and Titling Program - 37222/BL-BO and Rural land Titling and Registration Project in Peru - 3370/OC-PE). The expected results of the TC include the following: (i) to prove that blockchain technology is fit to solve the problem of land titling and registry; (ii) develop a thorough understanding of the legal matters related to the application of blockchain technology to land titling and registry; (iii) identify the information technology requirements to implement the blockchain solution to land titling and registry; (iv) to understand the technology and process integration with existing land titling and registry systems; (v) to understand the blockchain governance required (incentives and coordination) to implement the proposed solution; and (v) to understand the costs and benefits of the application of blockchain technology to land titling and registry.",Sovereign Guaranteed,Technical Cooperation,7/19/19,7/19/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Bolivia; Paraguay; Peru; Regional,EXITED,C,500000,ATN/OC-17465-RG,,USD,ORC-Ordinary Capital,500000,429619.2,"Thursday, August 25, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
PR-T1282,Listening to the Plants Needs,The objective of the project is to test a smart irrigation solution for smallholder horticulture farmers in Paraguay.,Non-Sovereign Guaranteed,Technical Cooperation,8/14/19,8/14/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Paraguay,EXITED,C,235000,ATN/ME-17518-PR,,USD,MSE-Multilateral Investment Fund II (MIF) -,150000,150000,"Thursday, August 04, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['smallholder'],[],[],[],[],[],['smallholder']
RG-T3431,Assessment of the Regulatory and Institutional Framework for Gene-editing via CRISPR-based Technologies in Latin America and the Caribbean,"The main objective of this TC is to provide guidance for national agencies of the countries members of the Bank responsible for biotechnology applied to the agriculture sector to bridge existing agricultural biotechnology policy to explicitly address gene-editing in regulatory development and/or updates. We will create the first specialized report on gene-editing in agriculture for the LAC region, outlining explicit roadmaps with decision break points to guide agencies considering the socio-economic, competitiveness, and trade implications of regulatory updates.",Sovereign Guaranteed,Technical Cooperation,8/15/19,8/15/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Argentina; Bolivia; Brazil; Honduras; Mexico; Paraguay; Peru; Regional; Uruguay,EXITED,C,600000,ATN/OC-17516-RG,,USD,ORC-Ordinary Capital,600000,508249.53,"Wednesday, June 21, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,"['CRISPR', 'gene editing']","['gene editing', 'policy']",[],['policy'],[],[],[],"['CRISPR', 'gene editing', 'policy']"
UR-T1218,Establishment of the First Open Agricultural Laboratory for a Climate Smart Forestry Sector in Latin America and the Caribbean,"The objective of this project is to transfer the technology and knowledge developed by the Open Ag, establishing a mirror laboratory (initially focused on the forestry sector). that allows to make a selection of genetic materials that are resilient to climate change, and make a more efficient use of different inputs and, therefore, increase their productivity.",Non-Sovereign Guaranteed,Technical Cooperation,8/28/19,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Uruguay,EXITED,C,2647812,ATN/ME-17535-UR,,USD,MSE-Multilateral Investment Fund II (MIF) -,1300000,0,"Wednesday, August 28, 2019",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,[],"['genetic', 'productivity']",[],[],[],[],[],"['genetic', 'productivity']"
BL-T1121,Enhancing Conservation in Belize’s Protected Areas through Disruptive Technologies,"The project objective is to increase the income potential of farmers, women and youths in indigenous communities by merging the efforts of environmental protection with climate smart agricultural initiatives supported by the digital transformation of protected areas management.",Non-Sovereign Guaranteed,Technical Cooperation,8/29/19,12/10/19,AGRICULTURE AND RURAL DEVELOPMENT,LAND ADMINISTRATION AND MANAGEMENT,Belize,EXITED,C,1137000,ATN/ME-17536-BL,,USD,MSE-Multilateral Investment Fund II (MIF) -,574000,574000,"Wednesday, November 09, 2022",Not Defined,No,YAÁXCHE CONSERVATION TRUST,,,,[],[],[],[],[],[],[],[]
BL-T1123,Market-based Incentives for Responsible Fishing,"The proposed project aims to address the problem of unsustainable and illegal fishing practices which are depleting Belize's fisheries and endangering livelihoods of fisherfolks, through the development of market-based incentives under a Fish Right, Eat Right program to encourage buyers to purchase a greater proportion of their seafood from fishers who harvest responsibly.",Non-Sovereign Guaranteed,Technical Cooperation,8/29/19,10/31/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Belize,EXITED,C,600000,ATN/ME-17537-BL,,USD,MSE-Multilateral Investment Fund II (MIF) -,300000,300000,"Friday, December 17, 2021",Not Defined,No,OCEANA INC,,,,[],['livelihoods'],[],[],[],[],[],['livelihoods']
CO-T1525,Feasibility analysis of AgroParque BioSuroeste (Cartama),"The general objective of this TC is to contribute to the economic development of the province of Cartama, department of Antioquia, through the promotion of rural development in that territory. The specific objective is to perform an economic, social and environmental feasibility study for the development of an agro-park located in the Province of Cartama and propose a design of it.",Sovereign Guaranteed,Technical Cooperation,9/17/19,10/10/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,C,320000,ATN/OC-17569-CO,,USD,ORC-Ordinary Capital,250000,250000,"Wednesday, February 03, 2021",Not Defined,Yes,PROANTIOQUIA,,,,[],[],[],[],[],[],[],[]
ES-L1135,Strengthening the Climate Change Resilience in El Salvador’s Coffee Forests,"The program has two general objectives: (i) to maintain the ecosystem services provided by the coffee forest; and (ii) to improve food security for small-scale coffee producers. The specific objective is to boost resilience to climate change, productivity, and the incomes of producers in the coffee forests, through: (i) adoption of climate-smart agricultural technologies; (ii) incentives for marketing and cooperative initiatives; and (iii) modernization of coffee sector governance.",Sovereign Guaranteed,Loan Operation,9/25/19,1/28/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,El Salvador,ACTIVE,B,45000000,4870/OC-ES,ESP,USD,ORC-Ordinary Capital,45000000,31250000,"Monday, April 14, 2025",REPUBLICA DE EL SALVADOR,Yes,MINISTERIO DE AGRICULTURA Y GANADERIA,2.120000000000000; 5.542935000000000,2045-10-15; 2045-10-15,300.89999999999998; 300.89999999999998,[],"['cooperative', 'productivity']",[],[],[],[],[],"['cooperative', 'productivity']"
BA-T1064,Totally Traceable Tuna,"The Totally Traceable Tuna pilot project will test a combination of electronic radio-frequency identification (RFID) tags, quick response (QR) code tags and scanning devices to collect information about the journey of a tuna at various points along the supply chain. This use of technology is new in this region for tracking the fisheries supply chain. The project will also test and document histamine levels, a primary indicator of product quality. The further innovation is that it will record the information collect using blockchain distributed ledger technology. While this use of the blockchain is the first of its kind forthe Caribbean region.",Non-Sovereign Guaranteed,Technical Cooperation,9/26/19,12/16/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Barbados,EXITED,C,856000,ATN/ME-17602-BA,,USD,MSE-Multilateral Investment Fund II (MIF) -,370000,0,"Thursday, September 26, 2019",Not Defined,Yes,TEN HABITAT INC.,,,,[],[],[],[],[],[],[],[]
JA-T1178,Knowledge Exchange on Approaches & Requirements to Establish of a Hot Water Treatment Facility for Mangoes,"The objectives of the proposed knowledge exchange visit are to: Gather information on Hot Water Treatment Facility (HWTF) suppliers and the procurement process adopted by meeting with officials from the Agriculture Ministry; Identify and better understand the procurement method used, criteria for selection of suppliers and cost associated with the various components of establishing HWTF; Learn and understand the process requirements to obtain and maintain USDA-APHIS certification by meeting with relevant representatives of the USA Embassy in the Dominican Republic; Examine the HWTF from an engineering perspective, and observe the actual operation of the facility; Identify, appreciate and learn the challenges and opportunities of exporting mangoes for the USA and Europe Meet from representatives of the Mango Farmer Association; Visit select mango farms to observe cultivation, pest trappings and best practices.",Sovereign Guaranteed,Technical Cooperation,10/8/19,10/8/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Jamaica,EXITED,C,19800,ATN/OC-17619-JA,,USD,ORC-Ordinary Capital,19800,19800,"Tuesday, October 15, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['association'],[],[],[],[],[],['association']
NI-T1274,Smart Cocoa Production,"Improve income, productivity and resilience of 1,000 small cocoa producers as suppliers of Ritter Sport S. A. value chain.",Non-Sovereign Guaranteed,Technical Cooperation,10/23/19,2/12/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Nicaragua,EXITED,C,3660379,ATN/ME-17661-NI,,USD,MSE-Multilateral Investment Fund II (MIF) -,1500000,1249999.97,"Wednesday, May 22, 2024",Not Defined,No,RITTER SPORT NICARAGUA S. A.,,,,[],"['productivity', 'value chain']",[],[],[],[],[],"['productivity', 'value chain']"
RG-T3464,"EcoMicro - Carbon, Climate and Coffee: Moving the Needle from Cool Farms to Soil Carbon Premiums","To design a carbon premium line of credit for coffee farmers that implement regenerative, organic coffee farming and achieve targeted carbon sequestering ""CO2 scores"" as a leading strategy for greater climate resiliency.",Non-Sovereign Guaranteed,Technical Cooperation,11/11/19,1/20/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Barbados; Guatemala; Honduras; Peru; Regional,EXITED,C,976000,ATN/NV-17700-RG,,USD,NDV-Nordic Development Fund,666000,666000,"Wednesday, January 18, 2023",Not Defined,Yes,ROOT CAPITAL,,,,[],['farming'],[],[],[],[],[],['farming']
AR-T1235,Implementation of an Impact Evaluation for the Program for Rural Development and Family Agriculture (PRODAF),"Carry out the implementation of an impact evaluation study of the PRODAF Program, using methodologies and data of an innovative nature to evaluate the performance of this pilot program.",Sovereign Guaranteed,Technical Cooperation,11/13/19,11/13/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina,EXITED,C,238454,ATN/OC-17705-AR,,USD,ORC-Ordinary Capital,238454,211696.37,"Tuesday, November 09, 2021",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
NI-L1157,Nicaragua Sugar Estates Limited,"The financing will support the transition of the irrigation system of Nicaragua Sugar to drip irrigation from gravitational irrigation, and the construction of a reservoir to capture rain water for irrigation.",Non-Sovereign Guaranteed,Loan Operation,11/13/19,12/10/19,AGRICULTURE AND RURAL DEVELOPMENT,IRRIGATION AND DRAINAGE,Nicaragua,ACTIVE,,12500000,4912/CQ-NI,PSL,USD,CF2-Canadian Climate Fund Phase II,12500000,12500000,"Thursday, May 15, 2025",NICARAGUA SUGAR STATES LIMITED,No,NICARAGUA SUGAR STATES LIMITED,4.175130000000000; 4.667500000000000; 4.693733000000000,2027-11-15; 2027-11-15; 2027-11-15,96.599999999999994; 96.599999999999994; 96.599999999999994,[],[],[],[],[],[],[],[]
DR-L1137,Agricultural Health and Innovation Project,"The general objective of the project is to improve the food security and competitiveness of the Dominican Republic's agricultural sector, increasing productivity, food safety, and access to markets. The specific objectives are to improve: (i) agrifood health and safety services; (ii) innovation and the transfer of phyto-zoosanitary technologies; and (iii) the agricultural statistical system.",Sovereign Guaranteed,Loan Operation,11/20/19,3/18/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Dominican Republic,ACTIVE,B,50000000,4909/OC-DR,ESP,USD,ORC-Ordinary Capital,50000000,18318913,"Tuesday, April 15, 2025",REPUBLICA DOMINICANA,Yes,MINISTERIO DE AGRICULTURA,5.554681,2045-03-15,304.3,[],['productivity'],[],[],[],[],[],['productivity']
HO-L1209,"Producers of Traceable, Quality Specialty Coffee","CoffeeChain as a technology solution based on Blockchain, and that through alternative business models, is guaranteed transparency and trust throughout the coffee value chain.",Non-Sovereign Guaranteed,Loan Operation,11/21/19,4/28/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Honduras,EXITED,C,1400000,SP/OC-19-34-HO,,USD,ORC-Ordinary Capital,1000000,0,"Thursday, November 21, 2019",CAFE ORGANICO MARCALA,Yes,CAFE ORGANICO MARCALA,,,,[],['value chain'],[],[],[],[],[],['value chain']
HO-T1344,"Producers of Traceable, Quality Specialty Coffee","CoffeeChain as a technology solution based on Blockchain, and that through alternative business models, is guaranteed transparency and trust throughout the coffee value chain.",Non-Sovereign Guaranteed,Technical Cooperation,11/21/19,4/28/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Honduras,EXITED,,368100,ATN/OC-17751-HO,,USD,ORC-Ordinary Capital,250000,131816.5,"Monday, February 07, 2022",Not Defined,Yes,CAFE ORGANICO MARCALA,,,,[],['value chain'],[],[],[],[],[],['value chain']
PE-T1427,Digital Compensation for Conservation in Peru,The innovation of this project is in the direct payment to farmers through the creation of a technological platform that links the ecosystem services preserved by each family or community with the value of compensation payment.,Non-Sovereign Guaranteed,Technical Cooperation,12/2/19,2/26/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,C,1862400,ATN/ME-17755-PE,,USD,MSE-Multilateral Investment Fund II (MIF) -,929800,880676,"Monday, May 20, 2024",Not Defined,No,UNIVERSIDAD CATÓLICA SEDES SAPIENTAE ? UCSS.,,,,[],[],[],[],[],[],[],[]
PR-L1162,"First Individual Program of Finance the Improvement of Research, Innovation, and Transfer of Agricultural Technology in Paraguay",CCLIP: To improve agricultural productivity through investments that build the capacity of the Paraguayan government to provide quality public agricultural services to producers. First individual operation: To help increase the productivity and environmental sustainability of the agriculture sector by strengthening the country's capacity to develop and transfer technology,Sovereign Guaranteed,Loan Operation,12/4/19,6/23/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Paraguay,ACTIVE,C,20000000,4925/OC-PR,ESP,USD,ORC-Ordinary Capital,20000000,5020640,"Tuesday, May 13, 2025",INSTITUTO PARAGUAYO DE TECNOLOGIA AGRARIA,No,INSTITUTO PARAGUAYO DE TECNOLOGIA AGRARIA,5.529255,2042-11-15,272.7,[],['productivity'],[],[],[],[],[],['productivity']
PN-T1225,Diagnostic of Agricultural Innovation in Panama,"General objective: to contribute to the increase of productivity and competitiveness of the agricultural sector, with focus on adaptation to climate change and environmental sustainability. The specific objective is to generate detailed information on motivations and constraints to agricultural innovation in Panama, to enhance informed decision-making in terms of policy and investment options.",Sovereign Guaranteed,Technical Cooperation,12/9/19,12/9/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Panama,EXITED,C,200000,ATN/OC-17783-PN,,USD,ORC-Ordinary Capital,370000,369300,"Tuesday, December 13, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],"['policy', 'productivity']",[],[],[],[],[],"['policy', 'productivity']"
RG-T3568,EXO Mujer: Leading Technological Change for Climate Change Adaptation in the Gran Chaco Region,"The project objective is to accelerate climate change adaptation in rural women and their communities, by introducing technology in the Gran Chaco. Technology will give them access to new agtech solutions, and fintech solutions.",Non-Sovereign Guaranteed,Technical Cooperation,12/11/19,2/28/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Bolivia; Paraguay; Regional,EXITED,C,2768200,ATN/ME-17828-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,1384000,1335745.21,"Wednesday, November 29, 2023",Not Defined,Yes,FUNDACION AVINA,,,,[],[],[],[],[],[],[],[]
RG-G1024,ZIF COL-PE. Development of the Binational Value Chain of Cultivated and Native Cocoa in the Peruvian- Colombian Amazon Trapezoid,"Contribute to the process of border integration and sustainable development in the Amazonian Trapeze, through the implementation of actions aimed at strengthening public and private institutions around the installation of the binational cocoa value chain, improving productivity at the grain level and derivatives, promoting the national and binational associations of producers, increasing the aggregation of value and improving access to local and regional international markets for the economic, social and environmental sustainability of this productive activity.",Sovereign Guaranteed,Investment Grants,12/13/19,1/28/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Peru; Regional,EXITED,C,555300,GRT/PC-17840-RG,,USD,ICP-Development Fund for the Colombia–Peru B,500000,495680.4,"Tuesday, March 14, 2023",Not Defined,No,PROYECTO ESPECIAL BINACIONAL DE DESARROLLO INTEGRAL DE LA CUENCA DEL RIO PUTUMAYO,,,,['value chain'],"['productivity', 'value chain']",[],[],[],[],[],"['productivity', 'value chain']"
RG-T3569,Agricultural Production and Rural Development in the LAC Region: Productivity and Insertion Into Markets,"This technical cooperation (TC) aims at contributing to increasing agricultural productivity, promoting a successful insertion into modern agriculture, and reducing rural poverty of Latin America and the Caribbean (LAC). The TC objective is to support LAC public sector institutions in designing and investing in effective public policies to boost agricultural productivity and remove the barriers for a successful integration into modern agriculture. Target institutions include Agriculture and Trade Ministries among other relevant public agencies.",Sovereign Guaranteed,Technical Cooperation,12/13/19,12/13/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Argentina; Bahamas; Barbados; Belize; Bolivia; Brazil; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; El Salvador; Guatemala; Guyana; Haiti; Headquarters; Honduras; Jamaica; Mexico; Nicaragua; Panama; Paraguay; Peru; Regional; Suriname; Trinidad and Tobago; Uruguay; Venezuela,EXITED,C,405000,ATN/FI-17834-RG,,USD,ICS-Institutional Capacity Strengthening The,405000,319588.61,"Thursday, September 15, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['productivity'],['productivity'],[],['policy'],[],[],[],"['policy', 'productivity']"
RG-G1025,ZIF COL-PE. Establishment of the Binational Pisciculture Value Chain in Amazonas River of ZIF Colombia – Perú,"Strengthen border integration and development by initiating implementation of the binational value chain of fish farming through productivity improvement, application of good practices of fish production and facilitation of binational associative level, contributing to improve the family economy, income generation and border population quality of life improvement, as well as orientation of a route for commercial fishing activity that makes this Chain viable.",Sovereign Guaranteed,Investment Grants,12/19/19,1/30/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Peru; Regional,EXITED,C,524400,GRT/PC-17863-RG,,USD,ICP-Development Fund for the Colombia–Peru B,500000,500000,"Tuesday, October 25, 2022",Not Defined,No,INSTITUTO AMAZONICO DE INVESTIGACIONES CIENTIFICAS SINCHI,,,,['value chain'],"['farming', 'productivity', 'value chain']",[],[],[],[],[],"['farming', 'productivity', 'value chain']"
ES-T1297,Support the Development of Information Systems for Coffee Forests of El Salvador,"The main objective is to design a national system to generate and diseminate relevant, timely and high quality information for the design, monitoring and evaluation of competitive and sustainable policies for the coffee sector in El Salvador. The TC will support the strengthening of the information system of the coffee sector in El Salvador. The resources will support: (i) the design of a high quality information system for the coffee sector in El Salvador that is able to provide socio-demographic, geographic, agronomic and environmental information for the coffee sector; (ii) the development of a statistical system for the coffee sector comprised of a registry of producers, coffee census and a survey instruments that generate dynamic, georeferenced data of national coverage; (iii) the design of mechanisms to capture and process information from national and international markets; and (iv) the design and implementation of mechanisms to provide timely and relevant information to coffee growers regarding production, prices and technologies. The resources will seek to complement the proposed activities for operation ES-L1135.",Sovereign Guaranteed,Technical Cooperation,1/8/20,1/8/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,El Salvador,EXITED,C,500000,ATN/II-17871-ES,,USD,ITC-Italian Fund for Technical Cooperation P,500000,499801.74,"Saturday, January 07, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
HA-T1268,Vetiver Forward: Digital Innovation for a Fair and Sustainable Value Chain,"This project aims to improve the daily lives of 3,000 Haitian farmers by allowing them to sell superior quality vetiver roots directly to local distilleries while placing Haiti as the world's leading supplier of vetiver oil. Through a digital solution, the Vertiver Forever project brings together all the actors in the vetiver value chain to optimize its traceability and ensure that a fair remuneration is paid to small Haitian farmers.",Non-Sovereign Guaranteed,Technical Cooperation,1/22/20,4/21/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,3617486.67,ATN/MB-18552-HA,,USD,MCB-MIF-Haiti Fund,700000,660865.7,"Thursday, December 05, 2024",Not Defined,Yes,HEIFER INTERNATIONAL HAITI,,,,['value chain'],['value chain'],[],[],[],[],[],['value chain']
HA-T1268,Vetiver Forward: Digital Innovation for a Fair and Sustainable Value Chain,"This project aims to improve the daily lives of 3,000 Haitian farmers by allowing them to sell superior quality vetiver roots directly to local distilleries while placing Haiti as the world's leading supplier of vetiver oil. Through a digital solution, the Vertiver Forever project brings together all the actors in the vetiver value chain to optimize its traceability and ensure that a fair remuneration is paid to small Haitian farmers.",Non-Sovereign Guaranteed,Technical Cooperation,1/22/20,4/21/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,3617486.67,ATN/ME-17894-HA,,USD,MSE-Multilateral Investment Fund II (MIF) -,500000,500000,"Wednesday, April 13, 2022",Not Defined,Yes,HEIFER INTERNATIONAL HAITI,,,,['value chain'],['value chain'],[],[],[],[],[],['value chain']
HO-T1347,Sustainable Forest Management and Agroforestry in Critical Watershed for Water Provision in Honduras,"The objective is strengthening the capacities of farmers, water committees, municipal governments for sustainable forest management and agroforestry, in critical watersheds for water supply.",Sovereign Guaranteed,Technical Cooperation,3/4/20,3/4/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Honduras,EXITED,B,1500000,ATN/AG-17919-HO,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,1500000,1022101.4,"Friday, March 03, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
PE-T1423,EcoMicro - Expanding Climate Adaptation Finance in the Peruvian Coffee Production Chain,"Pilot a new microcredit line, based on precision and traceability agriculture systems, to increase the sustainability and climate resilience of small and medium coffee producers in Peru.",Non-Sovereign Guaranteed,Technical Cooperation,3/31/20,9/3/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,C,1401200,ATN/NV-17937-PE,,USD,NDV-Nordic Development Fund,800500,762700.78,"Monday, August 19, 2024",Not Defined,No,PERALES HUANCARUNA SAC,,,,[],[],[],[],[],[],[],[]
RG-T3589,New Technologies for Increasing the Efficiency of Water Use in Agriculture in LAC by 2030,Increase water use efficiency through new technologies for water resources management and precision irrigation in LAC agricultural systems.,Sovereign Guaranteed,Technical Cooperation,4/16/20,5/25/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Chile; Colombia; Headquarters; Regional; Uruguay,ACTIVE,C,2697140,ATN/RF-17950-RG,,USD,RFA-Regional Agricultural Fund,400000,400000,"Thursday, December 07, 2023",Not Defined,Yes,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,,,,[],[],[],[],[],[],[],[]
