"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
RG-G1036,"Financing Agrobusiness and Cooperatives response to COVID-19 in Central America, Colombia, Mexico and Peru","Pilot the SIINC model to strengthen the livelihoods of smallholder farmers in Central America, Colombia, Mexico and Peru by closing the financing gap for high-impact early stage agricultural SGBs",Non-Sovereign Guaranteed,Investment Grants,12/2/20,12/17/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Peru; Regional,EXITED,,7195000,GRT/CF-18394-RG,,USD,COF-Common Account - COFAB,945000,936000,"Friday, June 09, 2023",Not Defined,Yes,ROOT CAPITAL,,,,[],['smallholder'],[],['smallholder']
GY-L1074,Demerara Distillers Limited,"The proposed financing will finance: (i) as part of its product diversification strategy, the expansion of its juice production plant to include a new 1-litre packaging line for the production of natural juices, milk and other beverages, and an automated fruit processing line, to replace the existing manual processing line, (ii) working capital needs, to support the Company's liquidity especially under the Covid-19 context; and (iii) an up to 3.25MW solar photovoltaic (PV) generation system (including batteries with capacity of up to 1.25MW) for self-consumption, considering the intermittency of the supply of electrical energy in Guyana and its high cost. The CTF tranche will support the transition of the company to renewable energy sources with energy storage to decrease the carbon footprint of its self-consumption generation system, by partially replacing the energy supplied by diesel generators.",Non-Sovereign Guaranteed,Loan Operation,12/15/20,12/22/22,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Guyana,ACTIVE,,6000000,5202/TC-GY,,USD,CTF-Clean Technology Fund,6000000,0,"Thursday, May 15, 2025",Demerara Distillers Limited,No,Demerara Distillers Limited,,,,[],"['milk', 'processing']",[],"['milk', 'processing']"
PR-T1306,Preparation of the strategy for the modernization and updating of the Paraguayan Ministry of Agriculture and Livestock,"The overall objective of this Technical Cooperation (TC) is to support the Ministry of Agriculture and Livestock (MAG, by its acronym in Spanish) in the preparation of a strategy for the modernization and update of its structure to provide services to farmers and rural population in a sustainable and efficient manner. Its specific objectives are: i) review and propose modifications to the current legal framework that underpins the structure of the MAG and its relation with autonomous agencies (animal health; plant health; financial services) that comprise the public goods supported by the Government; ii) design and implement an economic evaluation and a potential impact evaluation of these reforms and modernization process; and iii) propose an integral modernization of the technical assistance and technological transfer platform for small farmers.",Sovereign Guaranteed,Technical Cooperation,3/9/21,3/9/21,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Paraguay,EXITED,C,300000,ATN/OC-18557-PR,,USD,ORC-Ordinary Capital,300000,163219.55,"Friday, September 08, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['livestock'],"['animal health', 'livestock']",[],"['animal health', 'livestock']"
HA-L1148,Acceso Haiti: A New Model to Add Value to Smallholder Farmer Production in Haiti,"The project purpose is to develop the moringa value-chaine in Haiti through a model based on Community Processing Centers. The project will support + 600 farmers in the moringa value chaine and + 3,000 farmers in the peanuts value chain.",Non-Sovereign Guaranteed,Loan Operation,4/19/21,12/10/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,EXITED,C,1212420,SP/OC-21-40-HA,,USD,ORC-Ordinary Capital,500000,500000,"Tuesday, April 08, 2025",ACCESO PEANUT ENTERPRISE CORPORATION S.A.,Yes,ACCESO PEANUT ENTERPRISE CORPORATION S.A.,6.5,2027-10-05,70.8,['smallholder'],['processing'],[],"['processing', 'smallholder']"
HA-T1284,Acceso Haiti: A New Model to Add Value to Smallholder Farmer Production in Haiti,"The project purpose is to develop the moringa value-chaine in Haiti through a model based on Community Processing Centers. The project will support + 600 farmers in the moringa value chaine and + 3,000 farmers in the peanuts value chain.",Non-Sovereign Guaranteed,Technical Cooperation,4/19/21,7/9/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Haiti,ACTIVE,C,563400,ATN/OC-18581-HA,,USD,ORC-Ordinary Capital,250000,250000,"Thursday, August 08, 2024",ACCESO PEANUT ENTERPRISE CORPORATION S.A.,Yes,ACCESO PEANUT ENTERPRISE CORPORATION S.A.,,,,['smallholder'],['processing'],[],"['processing', 'smallholder']"
RG-T3933,Multipurpose Silvopastoral Systems and Family Livestock in Peru and Colombia,Improvement in family livestock productivity in Peru and Colombia through the implementation of multi-purpose silvopastoral systems with validated environmental sustainability.,Sovereign Guaranteed,Technical Cooperation,8/11/21,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Colombia; Headquarters; Peru; Regional,EXITED,C,600000,ATN/RF-18747-RG,,USD,RFA-Regional Agricultural Fund,200000,0,"Wednesday, August 11, 2021",Not Defined,Yes,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA,,,,"['livestock', 'silvopastoral']","['livestock', 'silvopastoral']",[],"['livestock', 'silvopastoral']"
RG-T3811,Gene Editing to Improve Plant and Animal Species,Consolidate regional research and innovation capacities in GE to improve species of agricultural interest.,Sovereign Guaranteed,Technical Cooperation,8/13/21,9/22/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Chile; Colombia; Ecuador; Headquarters; Paraguay; Regional; Uruguay,ACTIVE,C,1143163,ATN/RF-18757-RG,,USD,RFA-Regional Agricultural Fund,230000,178500,"Wednesday, November 06, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,['gene editing'],[],[],['gene editing']
CO-T1611,Support studies for the formulation of the resilient and sustainable production policy in Colombia,"The general objective of the Technical Cooperation (TC) is to support the Government of Colombia (GoC) in the formulation of policies and regulations for the adoption of Climate-Smart Agriculture (ACI) practices, which contribute to increasing the productivity of the agricultural sector and strengthening its adaptation and mitigation measures to climate change CC. The specific objectives are: i) support the formulation of the sustainable livestock action plan iii) strengthen the capacities of the sustainable livestock tables ii) support the development of the necessary regulations for the institutionalization and operation of the Agricultural Technical Tables (MTA) and iv) support the issuance of regulations that establish guidelines to design, train, and implement reconversion programs for high-impact agricultural activities in delimited moorlands. TC is developed in support of compliance with policy measures registered in the CO-L1264 program for Sustainable and Resilient Growth.",Sovereign Guaranteed,Technical Cooperation,10/8/21,10/8/21,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia,EXITED,C,500000,ATN/OC-18877-CO,,USD,ORC-Ordinary Capital,500000,496660.29,"Wednesday, December 13, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['livestock'],[],['livestock']
BR-T1462,Low Carbon Agriculture for Avoided Deforestation and Poverty Reduction Phase II - Strengthening Sustainable Value Chains in the Amazon,The objective of this technical cooperation is to mitigate greenhouse gas (GHG) emissions in the Amazon biome by promoting nature-positive solutions based on the development of sustainable agricultural value chains.,Sovereign Guaranteed,Technical Cooperation,10/28/21,1/25/22,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Brazil,ACTIVE,C,9630000,ATN/LC-18953-BR,,USD,LCA-Low Carbon Agriculture for avoided defor,12230000,6477948.7,"Thursday, April 24, 2025",Not Defined,Yes,INSTITUTO BRASILEIRO DE DESENVOLVIMENTO E SUSTENTABILIDADE,,,,[],['greenhouse gas'],[],['greenhouse gas']
ES-G1006,Greenhouses 2.0: Technology Adoption and Innovation for Smallholder Farmers for small farmers in El Salvador,"The objective of the project is to implement a pilot to explore a model based on precision agriculture and data management to make the process (production, quality and market) more efficient for the farmers who are part of the cooperative, in addition to considering the incorporation of innovative solutions in the commercial area so that they can better develop and scale the market, seeking its sustainability.",Non-Sovereign Guaranteed,Investment Grants,3/18/22,4/29/22,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,El Salvador,ACTIVE,,130000,GRC/ME-19194-ES,,USD,MSE-Multilateral Investment Fund II (MIF) -,130000,130000,"Thursday, March 20, 2025",Not Defined,Yes,ACCESO OFERTA LOCAL PRODUCTOS DE EL SALVADOR S A DE C V,,,,['smallholder'],[],[],['smallholder']
ES-T1346,Greenhouses 2.0: Technology Adoption and Innovation for Smallholder Farmers for small farmers in El Salvador,"The objective of the project is to implement a pilot to explore a model based on precision agriculture and data management to make the process (production, quality and market) more efficient for the farmers who are part of the cooperative, in addition to considering the incorporation of innovative solutions in the commercial area so that they can better develop and scale the market, seeking its sustainability.",Non-Sovereign Guaranteed,Technical Cooperation,3/18/22,4/29/22,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,El Salvador,ACTIVE,,670000,ATN/ME-19193-ES,,USD,MSE-Multilateral Investment Fund II (MIF) -,270000,256137.2,"Monday, May 05, 2025",Not Defined,Yes,ACCESO OFERTA LOCAL PRODUCTOS DE EL SALVADOR S A DE C V,,,,['smallholder'],[],[],['smallholder']
RG-T4130,Multipurpose Silvopastoral Systems and Family Livestock in Peru and Colombia,Improvement in family livestock productivity in Peru and Colombia through the implementation of multi-purpose silvopastoral systems with validated environmental sustainability.,Sovereign Guaranteed,Technical Cooperation,6/9/22,7/7/22,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Colombia; Headquarters; Peru; Regional,ACTIVE,,600000,ATN/RF-19277-RG,,USD,RFA-Regional Agricultural Fund,200000,125350,"Thursday, April 25, 2024",Not Defined,Yes,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA,,,,"['livestock', 'silvopastoral']","['livestock', 'silvopastoral']",[],"['livestock', 'silvopastoral']"
NI-T1309,Improving opportunities for small producers in the livestock sector,Contribute to the identification of sustainable development opportunities for small rural producers in the livestock sector in Nicaragua.,Sovereign Guaranteed,Technical Cooperation,6/24/22,6/24/22,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Nicaragua,EXITED,,100000,ATN/OC-19309-NI,,USD,ORC-Ordinary Capital,100000,99779.08,"Thursday, February 22, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['livestock'],['livestock'],[],['livestock']
PN-T1321,Blockchain and Precision: Innovating with farmers in the rice chain in Panama,"The objective of the project is to pilot together with 100 producers a ""precision"" production system based on science, technology, innovation, and the application of good official rice practices (Nationally Appropriate Mitigation Actions - NAMA) that will: i) increase producer profitability ii) reduce greenhouse gas emissions by 40% and capture between 13,200 tCO2 equivalent that can be transformed into carbon credits as additional income for producers.",Non-Sovereign Guaranteed,Technical Cooperation,10/21/22,12/15/22,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Panama,ACTIVE,,1210700,ATN/ME-19615-PN,,USD,MSE-Multilateral Investment Fund II (MIF) -,577000,576999.53,"Monday, February 17, 2025",Not Defined,No,INSTITUTO INTERAMERICANO DE COOPERACION PARA LA AGRICULTURA,,,,[],['greenhouse gas'],[],['greenhouse gas']
CR-G1010,Circular Economy from Agroforestry Residues for Decarbonization,"To strengthen and expand a circular economy model based on the processing of agroforestry residues, turning them into biodegradable final products, which in turn contributes to avoiding CO2 emissions, promoting local employment and increasing links with local value chains and external markets.",Non-Sovereign Guaranteed,Investment Grants,12/1/22,1/10/23,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Costa Rica,ACTIVE,,754000,GRC/ME-19739-CR,,USD,MSE-Multilateral Investment Fund II (MIF) -,350000,300000,"Tuesday, February 27, 2024",Not Defined,No,AGREP FORESTAL S.A.,,,,[],['processing'],[],['processing']
RG-T4049,Satellite monitoring of quantity and quality of available biomass in pastoral livestock systems,To lower the cost of estimating in real time and with adequate precision the quantity and quality of biomass available in pastoral livestock systems through a satellite tool.,Sovereign Guaranteed,Technical Cooperation,12/8/22,2/8/23,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Colombia; Costa Rica; Headquarters; Regional; Uruguay,ACTIVE,C,1347026.02,ATN/RF-19787-RG,,USD,RFA-Regional Agricultural Fund,200000,110000,"Thursday, June 26, 2025",Not Defined,Yes,FUNDACION ARGENINTA,,,,"['livestock', 'pastoral']","['livestock', 'pastoral']",[],"['livestock', 'pastoral']"
RG-T4049,Satellite monitoring of quantity and quality of available biomass in pastoral livestock systems,To lower the cost of estimating in real time and with adequate precision the quantity and quality of biomass available in pastoral livestock systems through a satellite tool.,Sovereign Guaranteed,Technical Cooperation,12/8/22,2/8/23,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Colombia; Costa Rica; Headquarters; Regional; Uruguay,ACTIVE,C,1347026.02,ATN/RF-19788-RG,,USD,RFA-Regional Agricultural Fund,199479.02,62000,"Wednesday, December 04, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,"['livestock', 'pastoral']","['livestock', 'pastoral']",[],"['livestock', 'pastoral']"
BL-T1153,Knowledge Exchange of Value Chains in Sustainable and Resilient Agricultural Systems,"Exchange experiences of sustainable and resilient agricultural value chains, between Guatemala and Belize. The objective of the technical cooperation is to learn about experiences of private organizations of agricultural producers in Guatemala, on value chains that can be strengthened in Belize. Among the cases to be known are chains of cardamom, cocoa, wood, sustainable livestock, among others.",Sovereign Guaranteed,Technical Cooperation,3/16/23,3/16/23,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize,EXITED,C,15000,ATN/OC-19909-BL,,USD,ORC-Ordinary Capital,15000,14525,"Tuesday, May 09, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['livestock'],[],['livestock']
BR-L1610,AGROLEND – Financing Small and Medium Farmers who Feed the World,The objective of the project is to support Agrolend's growth and expand access to working capital financing for small and medium-sized farmers.,Non-Sovereign Guaranteed,Loan Operation,4/6/23,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Brazil,EXITED,,2000000,SP/OC-23-51-BR,,USD,ORC-Ordinary Capital,2000000,0,"Thursday, April 06, 2023",AGROLEND HOLDING LTDA,No,AGROLEND HOLDING LTDA,,,,['feed'],[],[],['feed']
RG-T4266,Implementation of a Sustainable Cattle Platform in the Americas,"The objective of this TC is to create an institutional mechanism hereafter referred to as a Sustainable Cattle Platform to promote faster and wider diffusion of clean- and climate-friendly technologies and to speed the transition to systems with higher levels of economic, social, and environmental sustainability.",Sovereign Guaranteed,Technical Cooperation,5/4/23,5/4/23,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Brazil; Chile; Headquarters; Paraguay; Regional; Uruguay,ACTIVE,,350000,ATN/OC-19970-RG,,USD,ORC-Ordinary Capital,350000,234209.4,"Tuesday, July 15, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['cattle'],['cattle'],[],['cattle']
CH-T1298,Support to the Preparation of the Innovation and Institutional Strengthening for Food Security Program,"The objective of the technical cooperation is to support the preparation of a future Program for Innovation and Institutional Strengthening for Food Security (CH-L1171), which will seek to strengthen the functions of MINAGRI to protect and monitor essential assets (sanitary, genetic and natural resources) for food security; provide better quality services to farmers, agro-exporters and food importers; and support the digital transformation of the Servicio Agrícola y Ganadero (SAG) and the Instituto Nacional de Investigaciones Agropecuarias (INIA). The TC will support the design of the Program, since it will make it possible to define the priority investments and create the necessary capacities for the supervision and evaluation of the main results (KPIs) that the Program would have. In turn, the TC will contribute to strengthening the MINAGRI's skills budget preparation process, by generating products that will make it possible to substantiate the need for certain investments, which is essential for MINAGRI to have the budgetary space to include the IDB program.",Sovereign Guaranteed,Technical Cooperation,8/14/23,8/14/23,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Chile,ACTIVE,,400000,ATN/OC-20267-CH,,USD,ORC-Ordinary Capital,400000,305975.94,"Friday, June 27, 2025",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['genetic'],[],['genetic']
HO-T1416,Strengthening Capacities for Climate Resilience and Economic Empowerment of Rural Small Holder Producers in the Dry Corridor of Honduras,The objective of the project is to improve climate resilience and food security through economic empowerment and the transformation of the agricultural system for small farmers in Western Honduras.,Non-Sovereign Guaranteed,Technical Cooperation,9/21/23,10/17/23,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Honduras,ACTIVE,,2130000,ATN/GA-20351-HO,,USD,GAF-Global Agricultural Food Security,2130000,1348380.26,"Tuesday, April 22, 2025",Not Defined,No,RED DE COMERCIALIZACION COMUNITARIA ALTERNATIVA,,,,['smallholder'],[],[],['smallholder']
TT-T1151,EcoMicro: ANSA Merchant Bank Limited Green Finance for the Agriculture Sector in Trinidad and Tobago,"The objective of this project is to build the climate resilience of small and medium-scale farmers in Trinidad and Tobago (involved in crop, livestock and aquaculture production), through new green finance that enables the implementation of adaptation methodologies and approaches.",Non-Sovereign Guaranteed,Technical Cooperation,11/27/23,4/12/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Trinidad and Tobago,ACTIVE,,428600,ATN/CN-20465-TT,,USD,CCF-Canada Cooperation Frame,300000,8829.43,"Friday, March 07, 2025",Not Defined,No,ANSA MERCHANT BANK LIMITED,,,,[],['livestock'],[],['livestock']
RG-L1170,Finanex: Unleashing Trade Finance to Empower Smallholder Farmers,"The objetive of the project is support FINANEX's mission, is to support the export potential and volume of micro, small and medium size agribusiness in LAC, generating a sustainable impact in vulnerable rural communities while increasing export availability to countries with food deficit",Non-Sovereign Guaranteed,Loan Operation,12/14/23,2/16/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Paraguay; Peru; Regional,EXITED,,5000000,SP/OC-23-67-RG,,USD,ORC-Ordinary Capital,2000000,2000000,"Tuesday, February 11, 2025",FINANEX INC,No,FINANEX INC,10.5,2029-02-15,60.9,['smallholder'],[],[],['smallholder']
AR-L1395,ZoomAgri: Revolutionizing the Agroindustrial Chains through Image Processing and Artificial Intelligence,"The solution promotes price transparency and fairness by providing accurate, objective, unbiased and accessible quality analysis for all those involved in the various stages of the supply chain.",Non-Sovereign Guaranteed,Loan Operation,12/15/23,10/28/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina,ACTIVE,,7300000,SP/OC-23-68-AR,,USD,ORC-Ordinary Capital,2000000,500000,"Tuesday, May 20, 2025",MOQ S.A.,No,MOQ S.A.,11.26026,2029-05-15,55.3,['processing'],[],[],['processing']
RG-T4381,Network of resilient farms with sustainable forest management,"Increase the sustainability and climate change resilience of smallholder livestock farms, especially women's groups associated with multiple-use forest, through the implementation of adaptive management strategies.",Sovereign Guaranteed,Technical Cooperation,1/23/24,4/17/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Bolivia; Headquarters; Paraguay; Regional,ACTIVE,C,699675,ATN/RF-20635-RG,,USD,RFA-Regional Agricultural Fund,200000,36143,"Tuesday, October 15, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,[],"['livestock', 'smallholder']",[],"['livestock', 'smallholder']"
RG-T4382,One Welfare for the resilience of livestock farms,"Contribute to the resilience of livestock systems, with a focus on ""One Welfare"", by implementing good husbandry practices for cattle and sheep based on animal welfare principles.",Sovereign Guaranteed,Technical Cooperation,1/23/24,4/17/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Chile; Colombia; Headquarters; Regional,ACTIVE,C,764311,ATN/RF-20636-RG,,USD,RFA-Regional Agricultural Fund,200000,66600,"Tuesday, October 15, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,['livestock'],"['animal welfare', 'cattle', 'livestock', 'sheep']",[],"['animal welfare', 'cattle', 'livestock', 'sheep']"
RG-T4383,Innovations to reduce methane emissions in ruminants,To reduce emission intensity (g of CO2Eq/kg Meat) in bovine production systems by 10% through the implementation of technological innovations developed in Latin America for the quantification and mitigation of greenhouse gas emissions.,Sovereign Guaranteed,Technical Cooperation,1/23/24,4/16/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Colombia; Headquarters; Regional,ACTIVE,C,633609,ATN/RF-20637-RG,,USD,RFA-Regional Agricultural Fund,200000,78926,"Tuesday, October 15, 2024",Not Defined,Yes,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA,,,,[],"['greenhouse gas', 'meat']",[],"['greenhouse gas', 'meat']"
RG-T4385,Climate-smart livestock production in mapuche communities in Argentina and Chile,Promote sustainability and food security in indigenous Mapuche communities of Argentina and Chile by incorporating climate-smart livestock practices through participatory strategies.,Sovereign Guaranteed,Technical Cooperation,1/23/24,4/22/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Chile; Headquarters; Regional,ACTIVE,C,943570,ATN/RF-20639-RG,,USD,RFA-Regional Agricultural Fund,150000,57009,"Tuesday, October 15, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,"['climate smart livestock', 'climate-smart livestock', 'livestock']","['climate smart livestock', 'climate-smart livestock', 'livestock']",[],"['climate smart livestock', 'climate-smart livestock', 'livestock']"
RG-T4385,Climate-smart livestock production in mapuche communities in Argentina and Chile,Promote sustainability and food security in indigenous Mapuche communities of Argentina and Chile by incorporating climate-smart livestock practices through participatory strategies.,Sovereign Guaranteed,Technical Cooperation,1/23/24,4/22/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Argentina; Chile; Headquarters; Regional,ACTIVE,C,943570,ATN/RF-20640-RG,,USD,RFA-Regional Agricultural Fund,150000,57009,"Tuesday, October 01, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,"['climate smart livestock', 'climate-smart livestock', 'livestock']","['climate smart livestock', 'climate-smart livestock', 'livestock']",[],"['climate smart livestock', 'climate-smart livestock', 'livestock']"
RG-T4389,Sustainable livestock farming in the Amazon of Peru and Ecuador,To sustainably intensify dual-purpose livestock systems in the Amazon of Peru and Ecuador through supplementation with agro-industrial by-products and crop residues.,Sovereign Guaranteed,Technical Cooperation,1/23/24,4/1/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Costa Rica; Ecuador; Headquarters; Peru; Regional,ACTIVE,C,600000,ATN/RF-20627-RG,,USD,RFA-Regional Agricultural Fund,200000,66663.33,"Tuesday, September 10, 2024",Not Defined,Yes,IICA INTER-AMERICAN INSTITUTE FOR C OOPERATION ON AGRICULTURE,,,,['livestock'],['livestock'],[],['livestock']
RG-T4544,Sustainable tropical dairy systems to contribute to food security in Colombia and Ecuador,Increase the productivity of dairy systems in Cauca-Colombia and Manabí-Ecuador by implementing climate-smart production strategies to contribute to food security in the regions.,Sovereign Guaranteed,Technical Cooperation,8/14/24,10/14/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Ecuador; Headquarters; Regional,ACTIVE,C,600424,ATN/RF-21038-RG,,USD,RFA-Regional Agricultural Fund,200000,79690,"Friday, April 11, 2025",Not Defined,Yes,IICA INTER-AMERICAN INSTITUTE FOR C OOPERATION ON AGRICULTURE,,,,['dairy'],['dairy'],[],['dairy']
RG-T4538,AgroWeb3: Verifiable Credentials for Smallholder Farmers,Develop the ecosystem of verifiable digital credentials in four countries in Latin America and the Caribbean for their use in managing the economic and environmental asset portfolios of smallholder farmers (AgroWeb3).,Non-Sovereign Guaranteed,Technical Cooperation,10/11/24,11/22/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Headquarters; Peru; Regional,ACTIVE,,3000000,ATN/OC-21177-RG,,USD,ORC-Ordinary Capital,1500000,375000,"Tuesday, June 17, 2025",Not Defined,Yes,FUNDACION JULIO RICALDONI,,,,['smallholder'],['smallholder'],[],['smallholder']
CR-G1012,Carbon Positive: Transforming Agricultural Value Chains into Carbon Sinks,"The main objective of the project is to deploy innovative technologies to convert agricultural waste into valuable resources while eliminating waste management issues at production centers. This in turn will support small farmers and agribusinesses while, reducing GHG emissions.",Non-Sovereign Guaranteed,Investment Grants,10/17/24,11/6/24,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Costa Rica,ACTIVE,,2115780,GRC/ME-21185-CR,,USD,MSE-Multilateral Investment Fund II (MIF) -,850000,600000,"Thursday, March 06, 2025",POAS BIOENERGY INC,No,POAS BIOENERGY INC,,,,[],['waste management'],[],['waste management']
PE-L1280,Improving SENASA's Agri-Food Safety Service,"The general objective of the project is to contribute to improving the percentage of agricultural foods and feed that comply with the safety standards established in the national regulations of Peru, through an adequate provision of the SENASA agri-food safety surveillance and control service. The specific objectives are: (i) Improve the risk management capacity in surveillance and sanitary control of primary agricultural foods and feed by SENASA; (ii) Increase coverage and access to risk communication in agri-food safety with a focus on Behavioral Economics; and (iii) Adopt the official standard of Good Agricultural Practices (GAP) and Good Hygiene Practices (GHP) developed by SENASA.",Sovereign Guaranteed,Loan Operation,10/31/24,6/10/25,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,ACTIVE,B,85758705,5941/OC-PE,ESP,USD,ORC-Ordinary Capital,68000000,0,"Thursday, October 31, 2024",REPUBLICA DEL PERU,Yes,SERVICIO NACIONAL DE SALUD AGROPECUARIA,,,,[],['feed'],[],['feed']
ME-L1336,Prolade,"The transaction consists in providing corporate financing to Prolade, a Mexican sustainable palm oil producer, for land acquisition, expansion of its extraction mill, purchase of biological assets (seeds), and encourage the production of biochar and cogeneration of biogas from on-site agricultural waste.",Non-Sovereign Guaranteed,Loan Operation,11/5/24,12/2/24,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Mexico,ACTIVE,,10000000,5944/FB-ME,PSL,USD,FBF-Finland-LAC Blended Finance Climate Fund,5000000,2000000,"Tuesday, February 18, 2025",PROLADE SAPI DE CV,No,INTER AMERICAN INVESTMENT CORPORATION,1,2034-08-15,118.1,[],['biogas'],[],['biogas']
